Date,SARIMAX_Forecast,LightGBM_Forecast,Hybrid_Forecast
2025-10-29 13:53:32.012798,4164.622879186721,5223.0797726766195,4535.082791908185
2025-10-30 13:53:32.012798,4153.324499766692,5629.317587262335,4669.922080390166
2025-10-31 13:53:32.012798,4200.365048578454,5351.110846795606,4603.126077954457
2025-11-01 13:53:32.012798,4210.730167923442,5432.01870028443,4638.181154249788
2025-11-02 13:53:32.012798,4275.904316331723,6418.523932578277,5025.821182018017
2025-11-03 13:53:32.012798,4263.53623909817,6480.973290656671,5039.639207143646
2025-11-04 13:53:32.012798,4120.760508203628,5696.149621637413,4672.146697905453
2025-11-05 13:53:32.012798,4172.379801083574,5648.239560264363,4688.93071679685
2025-11-06 13:53:32.012798,4174.359617284547,6129.940847578124,4858.813047887299
2025-11-07 13:53:32.012798,4193.5956177348835,5743.9500887222775,4736.219682580471
2025-11-08 13:53:32.012798,4216.868562418247,5707.664682188465,4738.6472043378235
2025-11-09 13:53:32.012798,4260.405684187073,6361.655123198999,4995.842987841247
2025-11-10 13:53:32.012798,4264.146340275592,5967.690459369818,4860.386781958571
2025-11-11 13:53:32.012798,4119.39900362445,5888.136237166803,4738.457035364274
2025-11-12 13:53:32.012798,4181.293679477793,5992.274347012187,4815.136913114831
2025-11-13 13:53:32.012798,4174.060978929009,6408.73693066951,4956.1975620381845
2025-11-14 13:53:32.012798,4200.718909347128,5945.708798331843,4811.465370491778
2025-11-15 13:53:32.012798,4217.265300074476,5878.989482361514,4798.86876387494
2025-11-16 13:53:32.012798,4266.265671819618,6101.460213567657,4908.583761431431
2025-11-17 13:53:32.012798,4265.227760445349,5876.1569218638015,4829.052966941807
2025-11-18 13:53:32.012798,4124.959277923082,6201.911709150802,4851.892628852784
2025-11-19 13:53:32.012798,4183.264638588502,6239.643863562671,4902.997367329461
2025-11-20 13:53:32.012798,4179.109101530185,6320.12494440433,4928.464646536137
2025-11-21 13:53:32.012798,4203.103542126768,6276.472918623369,4928.782823900578
2025-11-22 13:53:32.012798,4221.931368826234,6289.444060196053,4945.560810805671
2025-11-23 13:53:32.012798,4268.958542275909,6220.788344120831,4952.098972921633
2025-11-24 13:53:32.012798,4269.616174156102,5774.1730247255,4796.211071855391
2025-11-25 13:53:32.012798,4127.900002157102,6307.0696450336745,4890.6093771639025
2025-11-26 13:53:32.012798,4187.459265992529,5986.011597362284,4816.952581971944
2025-11-27 13:53:32.012798,4182.224394819434,5995.105429793356,4816.7327570603065
2025-11-28 13:53:32.012798,4207.147119033491,6158.770783780608,4890.215401694983
2025-11-29 13:53:32.012798,4225.175835722171,6092.366381136585,4878.692526617216
2025-11-30 13:53:32.012798,4272.890332360905,6429.228009123144,5027.608519227689
2025-12-01 13:53:32.012798,4272.95645022025,5991.876897047293,4874.578606609715
2025-12-02 13:53:32.012798,4131.749624272651,5995.105429793356,4783.924156204897
2025-12-03 13:53:32.012798,4190.870848910842,6239.643863562671,4907.941404038982
2025-12-04 13:53:32.012798,4186.012898725914,6331.520215622585,4936.940459639749
2025-12-05 13:53:32.012798,4210.611268310728,6304.238661369158,4943.380855881178
2025-12-06 13:53:32.012798,4228.919081536253,6220.788344120831,4926.073323440855
2025-12-07 13:53:32.012798,4276.393406599476,6202.69927224703,4950.600459576121
2025-12-08 13:53:32.012798,4276.666189356582,5797.88545988769,4809.09293404247
2025-12-09 13:53:32.012798,4135.281539447923,6157.393003409021,4843.020551834307
2025-12-10 13:53:32.012798,4194.555789037924,5986.011597362284,4821.56532195145
2025-12-11 13:53:32.012798,4189.566160843516,5995.105429793356,4821.50490497596
2025-12-12 13:53:32.012798,4214.277838641114,6101.460213567657,4874.7916698654035
2025-12-13 13:53:32.012798,4232.488150061578,6429.228009123144,5001.347100733126
2025-12-14 13:53:32.012798,4280.046374943804,6429.228009123144,5032.2599469065735
2025-12-15 13:53:32.012798,4280.246961999581,5965.6145884332,4870.125631251348
2025-12-16 13:53:32.012798,4138.924436684224,6304.238661369158,4896.784415323951
2025-12-17 13:53:32.012798,4198.145228422551,6157.393003409021,4883.881949667815
2025-12-18 13:53:32.012798,4193.201600595183,6157.393003409021,4880.668591580026
2025-12-19 13:53:32.012798,4217.873695152253,6220.788344120831,4918.893822291256
2025-12-20 13:53:32.012798,4236.118067864702,6184.607589415865,4918.089400407609
2025-12-21 13:53:32.012798,4283.646983062321,6202.69927224703,4955.315284276969
2025-12-22 13:53:32.012798,4283.87279104254,5797.88545988769,4813.777225138342
2025-12-23 13:53:32.012798,4142.528563181013,5995.105429793356,4790.930466495332
2025-12-24 13:53:32.012798,4201.768029925523,6387.0331295045235,4966.610814778172
2025-12-25 13:53:32.012798,4196.80833229133,6304.238661369158,4934.40894746857
2025-12-26 13:53:32.012798,4221.494254885486,6326.718293713033,4958.322668475127
2025-12-27 13:53:32.012798,4239.72672859862,6304.238661369158,4962.305905068308
2025-12-28 13:53:32.012798,4287.265882861729,6326.718293713033,5001.074226659684
2025-12-29 13:53:32.012798,4287.482880145936,5791.487376219636,4813.884453771731
2025-12-30 13:53:32.012798,4146.14623387151,6157.393003409021,4850.082603209639
2025-12-31 13:53:32.012798,4205.379176675292,6202.69927224703,4904.4412101254
2026-01-01 13:53:32.012798,4200.4250928794,5438.188565335846,4633.642308239156
2026-01-02 13:53:32.012798,4225.106184776602,5514.8594726760475,4676.519835541408
2026-01-03 13:53:32.012798,4243.342815295062,5605.781095694948,4720.196213435022
2026-01-04 13:53:32.012798,4290.8783926352635,5610.106821823641,4752.608342851196
